X;Y;NUMERO_REGISTRO;NOMBRE;DIRECCION;PISO;NUMERO_EXPEDIENTE;CAPACIDAD;CLASE;ESTADO;DISPOSICION;FECHA_DISP_INSCRIPCION;NUMERO_DIPS;FECHA_DISP_RE_INSCRIPCION;NUMERO_DISP_DE_RECHAZO;FECHA_DISPOSICION_DE_RECHAZO;NUMERO_DISPOSICION_DE_RECALCULO_CAPACIDAD;FECHA_DISPOSICION_DE_CAPACIDAD;FECHA_DE_ENTREGA_NUEVA_REVALIDA;VENCIMIENTO;ESTADO_OBESERVACIONES;NOTIFICADO;FECHA_ENVIO;FECHA_DE_NOTIFICACION
-58.37467379999999;-34.614192500000001;127;BOUTIQUE;PERU 535; ;1241520/11;1950;C;RENOVADO 2017;93;18/08/2011;78;17/08/2017; ; ;93;18/08/2011;02/06/2017;03/09/2017; ; ; ; 
-58,43137109022553;-34,54519488754026;154;BRANDY;OBLIGADO RAFAEL, AV.COSTANERA 6920; ;15814267/17;394;C;INSCRIPCION 2017;70;21/07/2017; ; ; ; ;70;21/07/2017;21/07/2017;22/09/2017; ; ; ; 
-58.3818932;-34.629062300000001;36;BRONCO;O'BRIEN 1160; ;10827/05;1646;C;INSCRIPCION VENCIDA;39;18/03/2005;24;16/03/2007;001/2010; ;147;21/10/2005; ; ; ; ; ; 
-58.43001730000000;-34.588475500000001;79;BRUJAS;BORGES, JORGE LUIS 1640; ;27022/05;264;C;RENOVADO 2017;94;17/07/2006;76;11/08/2017; ; ;108;13/06/2013;02/08/2017;30/09/2017; ; ; ; 
-58.39899799999999;-34.570042299999997;38;CAIX;OBLIGADO RAFAEL, AV.COSTANERA Y SALGUERO, JERONIMO; ;10607/05;1764;C;RENOVADO 2017;41;18/03/2005;25;07/03/2017; ; ;134;28/09/2005;22/08/2017;15/11/2017; ; ; ; 
-58.39374339999999;-34.605027200000002;1;CASTELBAMBA;RIOBAMBA 345; ;10560/05;428;C;RENOVADO 2017;1;24/02/2005;20;24/02/2017; ; ;158;12/12/2005;13/09/2017;13/10/2017; ; ; ; 
-58.37990039999999;-34.597323899999999;58;CATTOS;SUIPACHA 930; ;20218/05;100;CC;INSCRIPCION VENCIDA;68;08/06/2005;82;24/06/2014; ; ;93;04/08/2005;24/10/2014;27/01/2015;INSCRIPCION VENCIDA; ; ; 
-58.37976729999999;-34.609509299999999;107;CIRCUS;YRIGOYEN, HIPOLITO 947; ;32798/09;400;C;RENOVADO 2017;70;19/06/2009;73;01/08/2017; ; ;70;19/06/2009;06/09/2017;03/12/2017; ; ; ; 
-58.50193990000000;-34.586032099999997;8;CITY HALL;MOSCONI GENERAL AV. 2885; ;10571/05;1434;C;RENOVADO 2017;9;03/03/2005;32;10/03/2017; ; ;77;27/06/2005;16/08/2017;17/11/2017; ; ; ; 
-58.39458820000000;-34.5890761;12;CLOCHE;URIBURU JOSE E., PRES. 1721; ;10593/05;588;C;RENOVADO 2017;13;03/03/2005;26;07/03/2017; ; ;78;04/07/2005;23/08/2017;17/11/2017; ; ; ; 
